"","date","NL_travel","NS_travel","NB_travel","PEI_travel","BC_active","AB_active","SK_active","MB_active","ON_active","QC_active","NB_active","NS_active"
"118",2020-10-26,1,0,2,0,4.60502962962819,10.1027789073293,5.51328234536727,15.3243780669567,4.96834871208788,10.4285046571019,0.765153872443748,0.0509158747550946
"119",2020-10-27,0,1,0,0,4.59922008846382,10.6917503826058,5.53024629104533,16.2002636343171,5.05778305410283,10.405192922091,0.701391049740103,0.0610990497061136
"120",2020-10-28,0,0,0,0,4.58953751985653,10.8158631455951,5.6489939107917,16.8951811092475,5.09775749485194,10.4751281271236,0.59937053341427,0.0509158747550946
"121",2020-10-29,0,0,0,0,4.64569641777882,11.1047073940066,5.99675479719179,17.438085386537,5.16822091583341,10.7094110639826,0.522855146169895,0.0407326998040757
"122",2020-10-30,0,2,1,0,4.74058559013029,11.6711129123759,6.29362384655772,19.8123867592162,5.2298764091922,10.6406414457006,0.497350017088436,0.0610990497061136
"123",2020-10-31,0,0,0,0,5.42223842008366,12.9821950086811,6.26817792804064,21.7885583285497,5.3714807840492,10.7164045844858,0.484597452547707,0.112014924461208
"124",2020-11-01,0,0,0,0,6.175542257731,14.1669077463063,6.76861432554321,23.5620456343619,5.44262173792472,10.7478754267504,0.44633975892552,0.132381274363246
"125",2020-11-02,0,1,0,0,5.85795400741181,15.5028123952093,7.2775326958848,25.0097903738005,5.52257061942293,10.8854146633144,0.420834629844062,0.152747624265284
"126",2020-11-03,0,0,0,0,5.99931950907828,13.7877996702662,7.14182113046038,25.2993393216882,5.6573996653394,10.7886709630194,0.369824371681145,0.162930799216303
"127",2020-11-04,1,2,3,0,6.20265344983142,14.058591153152,6.77709629838223,27.3044657858105,5.67501552058477,11.0346097673839,0.357071807140416,0.19348032406936
"128",2020-11-05,2,0,0,0,6.74100426439687,15.8683808971051,7.43869017982631,30.1565229225044,5.70008423766472,11.4157566348112,0.357071807140416,0.183297149118341
"129",2020-11-06,0,0,0,2,7.43427617667899,15.394495802055,7.72707725635321,31.0251697661675,5.72786308632088,11.4577177578307,0.306061548977499,0.162930799216303
"130",2020-11-07,2,2,0,0,8.53034294302447,17.4570242633682,8.35474324644118,32.284707689479,5.91011943482103,11.8435269722602,0.331566678058958,0.203663499020379
"131",2020-11-08,0,0,0,0,9.5683142977262,19.0840297563734,9.51677352538782,35.1005712076869,6.20755637531013,12.3447292749934,0.306061548977499,0.203663499020379
"132",2020-11-09,0,0,0,0,9.69806071706392,17.9737846765418,10.9332629895053,37.2939044879363,6.48466732897765,12.5813433853535,0.267803855355312,0.162930799216303
"133",2020-11-10,0,1,0,0,10.1686335513783,18.2558591378812,11.0689745549297,39.0167207278681,6.88576680225681,12.748022290681,0.216793597192395,0.183297149118341
"134",2020-11-11,2,0,0,1,11.2046683923586,19.7564952722064,11.5609289795932,41.0869957052652,7.24147157163443,13.3459682937092,0.204041032651666,0.203663499020379
"135",2020-11-12,0,0,1,0,11.6016537052576,18.7410272113848,12.3751983721398,43.6495038940714,7.67509262382811,13.9054499339695,0.165783339029479,0.19348032406936
"136",2020-11-13,1,1,0,0,11.2201605021303,19.3909267703106,12.1037752412909,45.6546303581938,7.91832693279301,14.0336644765292,0.178535903570208,0.19348032406936
"137",2020-11-14,2,0,2,0,12.4866404759641,21.6994241619116,14.3430160707939,46.4002188990046,8.29706782056842,14.4113145837049,0.242298726273854,0.213846673971398
"138",2020-11-15,2,0,0,0,13.7628030184052,23.9221709172655,15.326924920121,48.6080296266483,8.40344048493468,14.4299639717135,0.280556419896041,0.213846673971398
"139",2020-11-16,0,0,0,0,12.6996569853245,22.6359113735582,16.3532436336432,50.7506918410174,8.73272147144426,14.4800842019869,0.357071807140416,0.234213023873435
