"","REPORTED_DATE","TOTAL","TRAVEL","CLOSE_CONTACT","COMMUNITY"
"214",2021-06-13,5,0,0,5
"215",2021-06-14,1,1,0,0
"216",2021-06-15,2,1,0,1
"217",2021-06-17,1,0,0,1
"218",2021-06-22,1,0,0,1
"219",2021-06-28,1,1,0,0
"220",2021-06-29,1,1,0,0
"221",2021-07-01,1,1,0,0
"222",2021-07-03,12,12,0,0
"223",2021-07-04,1,1,0,0
"224",2021-07-09,2,2,0,0
"225",2021-07-11,5,5,0,0
"226",2021-07-14,3,3,0,0
"227",2021-07-15,23,23,0,0
"228",2021-07-17,4,4,0,0
"229",2021-07-29,2,2,0,0
"230",2021-07-30,1,1,0,0
"231",2021-08-01,1,1,0,0
"232",2021-08-04,1,1,0,0
"233",2021-08-06,2,2,0,0
"234",2021-08-10,1,1,0,0
"235",2021-08-12,3,3,0,0
"236",2021-08-14,1,1,0,0
"237",2021-08-15,2,1,1,0
"238",2021-08-16,1,1,0,0
"239",2021-08-17,3,1,2,0
"240",2021-08-18,1,1,0,0
"241",2021-08-19,1,1,0,0
"242",2021-08-20,2,1,1,0
"243",2021-08-21,1,1,0,0
"244",2021-08-24,1,1,0,0
"245",2021-08-25,6,4,1,1
"246",2021-08-26,3,3,0,0
"247",2021-08-27,1,0,1,0
"248",2021-08-28,4,1,0,3
"249",2021-08-29,3,0,0,3
"250",2021-08-30,4,4,0,0
"251",2021-08-31,3,2,1,0
"252",2021-09-01,2,1,1,0
"253",2021-09-02,4,3,1,0
"254",2021-09-03,2,1,1,0
"255",2021-09-04,7,2,0,5
"256",2021-09-05,3,2,1,0
"257",2021-09-06,7,2,0,5
"258",2021-09-07,8,2,1,5
"259",2021-09-08,3,0,0,3
"260",2021-09-09,7,3,0,4
"261",2021-09-10,6,0,0,6
"262",2021-09-11,4,3,0,1
"263",2021-09-12,3,1,0,2
"264",2021-09-14,4,3,1,0
"265",2021-09-15,6,2,0,4
"266",2021-09-16,3,1,0,2
"267",2021-09-17,2,2,0,0
"268",2021-09-18,5,1,1,3
"269",2021-09-19,2,2,0,0
"270",2021-09-20,12,1,0,11
"271",2021-09-21,18,3,0,15
"272",2021-09-22,26,1,0,25
"273",2021-09-23,27,2,0,25
"274",2021-09-24,20,2,0,18
"275",2021-09-25,25,1,1,23
"276",2021-09-26,19,1,3,15
"277",2021-09-27,14,0,0,14
"278",2021-09-28,13,0,0,13
"279",2021-09-29,16,2,0,14
"280",2021-09-30,32,3,2,27
"281",2021-10-01,10,3,0,7
"282",2021-10-02,9,3,0,6
"283",2021-10-03,11,1,0,10
"284",2021-10-04,5,0,0,5
"285",2021-10-05,10,3,1,6
"286",2021-10-06,5,0,3,2
"287",2021-10-07,11,3,0,8
"288",2021-10-08,10,5,0,5
"289",2021-10-09,5,2,0,3
"290",2021-10-10,2,0,1,1
"291",2021-10-11,4,0,0,4
"292",2021-10-12,4,2,0,2
"293",2021-10-13,6,2,0,4
"294",2021-10-14,2,1,0,1
"295",2021-10-15,4,2,0,2
"296",2021-10-16,1,0,0,1
"297",2021-10-17,5,1,1,3
"298",2021-10-19,8,0,0,8
"299",2021-10-20,7,0,0,7
"300",2021-10-21,16,0,1,15
"301",2021-10-22,13,1,0,12
"302",2021-10-23,19,0,0,19
"303",2021-10-24,5,1,0,4
"304",2021-10-25,16,0,0,16
"305",2021-10-26,8,0,0,8
"306",2021-10-27,3,0,0,3
"307",2021-10-28,5,0,0,5
"308",2021-10-29,3,1,0,2
"309",2021-10-31,1,1,0,0
"310",2021-11-01,2,0,0,2
"311",2021-11-03,3,0,1,2
"312",2021-11-04,4,1,0,3
"313",2021-11-05,2,1,0,1
"314",2021-11-07,8,3,1,4
"315",2021-11-08,2,0,1,1
"316",2021-11-09,3,0,1,2
"317",2021-11-10,4,1,2,1
"318",2021-11-11,5,0,1,4
"319",2021-11-13,1,0,0,1
"320",2021-11-16,4,1,0,3
"321",2021-11-18,2,0,0,2
"322",2021-11-19,2,0,0,2
"323",2021-11-22,4,3,0,1
"324",2021-11-23,2,0,0,2
"325",2021-11-24,3,2,0,1
"326",2021-11-25,2,1,1,0
"327",2021-11-26,3,1,1,1
"328",2021-11-27,4,0,1,3
"329",2021-11-28,4,1,2,1
"330",2021-12-01,2,0,0,2
"331",2021-12-02,1,0,0,1
"332",2021-12-03,4,0,0,4
"333",2021-12-04,5,0,0,5
"334",2021-12-05,1,0,0,1
"335",2021-12-06,3,2,0,1
"336",2021-12-07,1,0,0,1
"337",2021-12-08,2,0,1,1
"338",2021-12-09,2,0,0,2
"339",2021-12-10,1,0,0,1
"340",2021-12-11,4,1,2,1
"341",2021-12-12,3,1,0,2
"342",2021-12-13,10,2,0,8
"343",2021-12-14,6,1,0,5
"344",2021-12-15,25,5,1,19
"345",2021-12-16,16,2,2,12
"346",2021-12-17,29,5,6,18
"347",2021-12-18,21,4,2,15
"348",2021-12-19,34,6,12,16
"349",2021-12-20,27,7,5,15
"350",2021-12-21,54,6,10,38
"351",2021-12-22,62,16,7,39
"352",2021-12-23,94,19,9,66
"353",2021-12-24,139,12,2,125
"354",2021-12-25,136,3,6,127
"355",2021-12-26,125,5,2,118
"356",2021-12-27,159,1,0,158
"357",2021-12-28,276,0,0,276
"358",2021-12-29,280,4,6,270
"359",2021-12-30,369,5,4,360
"360",2021-12-31,521,6,8,507
"361",2022-01-01,507,8,4,495
"362",2022-01-02,422,3,0,419
"363",2022-01-03,439,2,6,431
"364",2022-01-04,493,4,2,487
"365",2022-01-05,439,2,1,436
"366",2022-01-06,547,6,2,539
"367",2022-01-07,597,9,3,585
"368",2022-01-08,476,2,0,474
"369",2022-01-09,1008,7,2,999
"370",2022-01-10,684,1,0,683
"371",2022-01-11,761,3,3,755
"372",2022-01-12,665,5,0,660
"373",2022-01-13,492,0,0,492
"374",2022-01-14,313,4,0,309
"375",2022-01-15,372,0,0,372
"376",2022-01-16,280,0,0,280
"377",2022-01-17,274,0,0,274
