"","REPORTED_DATE","TRAVEL","CLOSE_CONTACT"
"217",2021-09-14,3,1
"218",2021-09-15,2,0
"219",2021-09-16,1,0
"220",2021-09-17,2,0
"221",2021-09-18,1,1
"222",2021-09-19,2,0
"223",2021-09-20,1,0
"224",2021-09-21,3,0
"225",2021-09-22,1,0
"226",2021-09-23,2,0
"227",2021-09-24,2,0
"228",2021-09-25,1,1
"229",2021-09-26,1,3
"230",2021-09-29,2,0
"231",2021-09-30,3,2
"232",2021-10-01,3,0
"233",2021-10-02,3,0
"234",2021-10-03,1,0
"235",2021-10-05,3,1
"236",2021-10-06,0,3
"237",2021-10-07,3,0
"238",2021-10-08,5,0
"239",2021-10-09,2,0
"240",2021-10-10,0,1
"241",2021-10-12,2,0
"242",2021-10-13,2,0
"243",2021-10-14,1,0
"244",2021-10-15,2,0
"245",2021-10-17,1,1
"246",2021-10-21,0,1
"247",2021-10-22,1,0
"248",2021-10-24,1,0
"249",2021-10-29,1,0
"250",2021-10-31,1,0
"251",2021-11-03,0,1
"252",2021-11-04,1,0
"253",2021-11-05,1,0
"254",2021-11-07,3,1
"255",2021-11-08,0,1
"256",2021-11-09,0,1
"257",2021-11-10,1,2
"258",2021-11-11,0,1
"259",2021-11-16,1,0
"260",2021-11-22,3,0
"261",2021-11-24,2,0
"262",2021-11-25,1,1
"263",2021-11-26,1,1
"264",2021-11-27,0,1
"265",2021-11-28,1,2
"266",2021-12-06,2,0
"267",2021-12-08,0,1
"268",2021-12-11,1,2
"269",2021-12-12,1,0
"270",2021-12-13,2,0
"271",2021-12-14,1,0
"272",2021-12-15,5,1
"273",2021-12-16,2,2
"274",2021-12-17,5,6
"275",2021-12-18,4,2
"276",2021-12-19,6,12
"277",2021-12-20,7,5
"278",2021-12-21,6,10
"279",2021-12-22,16,7
"280",2021-12-23,19,9
"281",2021-12-24,12,2
"282",2021-12-25,3,6
"283",2021-12-26,5,2
"284",2021-12-27,1,0
"285",2021-12-29,4,6
"286",2021-12-30,5,4
"287",2021-12-31,6,8
"288",2022-01-01,8,4
"289",2022-01-02,3,0
"290",2022-01-03,2,6
"291",2022-01-04,4,2
"292",2022-01-05,2,1
"293",2022-01-06,6,2
"294",2022-01-07,9,3
"295",2022-01-08,2,0
"296",2022-01-09,7,2
"297",2022-01-10,1,0
"298",2022-01-11,3,3
"299",2022-01-12,5,0
"300",2022-01-14,4,0
"301",2022-03-14,1,0
"302",2022-03-27,1,0
"303",2022-04-09,0,1
